"","Date","Team","Acquired","Relinquished","Notes"
"18699",2017-04-10,"Rockets","","Kyle Wiltjer","placed on IL"
"18700",2017-04-11,"Hawks","","DeAndre Bembry","placed on IL"
"18701",2017-04-11,"Hawks","Kris Humphries","","returned to lineup"
"18702",2017-04-11,"Hawks","Thabo Sefolosha","","activated from IL"
"18703",2017-04-11,"Kings","","Arron Afflalo","DNP"
"18704",2017-04-11,"Kings","","Darren Collison","placed on IL with rest / migraine headache"
"18705",2017-04-11,"Kings","","Kosta Koufos","DNP"
"18706",2017-04-11,"Kings","","Tyreke Evans","DNP"
"18707",2017-04-11,"Lakers","Luol Deng","","activated from IL"
"18708",2017-04-11,"Mavericks","","Wes Matthews Jr.","rest (out for season)"
"18709",2017-04-11,"Mavericks","Jose Barea ","","returned to lineup"
"18710",2017-04-11,"Nuggets","","Danilo Gallinari","placed on IL for rest"
"18711",2017-04-11,"Nuggets","","Will Barton","rest (DTD)"
"18712",2017-04-11,"Nuggets","Darrell Arthur","","returned to lineup"
"18713",2017-04-11,"Pelicans","","Omer Asik","placed on IL with illness (out for season)"
"18714",2017-04-11,"Suns","","Devin Booker","DNP"
"18715",2017-04-11,"Thunder","","Doug McDermott","placed on IL with sore left knee"
"18716",2017-04-11,"Thunder","","Russell Westbrook","rest (DTD)"
"18717",2017-04-11,"Thunder","","Taj Gibson","rest (DTD)"
"18718",2017-04-11,"Thunder","Alex Abrines","","activated from IL"
"18719",2017-04-11,"Nuggets","Kenneth Faried","","activated from IL"
"18720",2017-04-11,"Nuggets","","Kenneth Faried","lower back injury (out for season)"
"18721",2017-04-12,"76ers","","Dario Saric","sore left heel (out for season)"
"18722",2017-04-12,"Blazers","","Al-Farouq Aminu","rest (DTD)"
"18723",2017-04-12,"Blazers","","C.J. McCollum","rest (DTD)"
"18724",2017-04-12,"Blazers","","Damian Lillard","rest (DTD)"
"18725",2017-04-12,"Bucks","","Giannis Antetokounmpo","rest (DTD)"
"18726",2017-04-12,"Bucks","","Khris Middleton","placed on IL"
"18727",2017-04-12,"Bucks","","Matthew Dellavedova","rest (DTD)"
"18728",2017-04-12,"Bucks","","Tony Snell","rest (DTD)"
"18729",2017-04-12,"Bucks","Spencer Hawes","","activated from IL"
"18730",2017-04-12,"Bulls","","Isaiah Canaan","placed on IL"
"18731",2017-04-12,"Bulls","Rajon Rondo","","activated from IL"
"18732",2017-04-12,"Cavaliers","","Kay Felder","placed on IL"
"18733",2017-04-12,"Cavaliers","","Kevin Love","rest (DTD)"
"18734",2017-04-12,"Cavaliers","","LeBron James","placed on IL for rest"
"18735",2017-04-12,"Cavaliers","Tristan Thompson","","activated from IL"
"18736",2017-04-12,"Grizzlies","","James Ennis","placed on IL with right knee injury (out for season)"
"18737",2017-04-12,"Grizzlies","Zach Randolph","","activated from IL"
"18738",2017-04-12,"Hawks","","Dennis Schroder","rest (DTD)"
"18739",2017-04-12,"Hawks","","Dwight Howard","rest (DTD)"
"18740",2017-04-12,"Hawks","","Kent Bazemore","placed on IL"
"18741",2017-04-12,"Hawks","","Paul Millsap","placed on IL for rest"
"18742",2017-04-12,"Hawks","","Tim Hardaway Jr.","rest (DTD)"
"18743",2017-04-12,"Hawks","DeAndre Bembry","","activated from IL"
"18744",2017-04-12,"Hawks","Ryan Kelly","","activated from IL"
"18745",2017-04-12,"Jazz","","Joel Bolomboy","placed on IL"
"18746",2017-04-12,"Jazz","Derrick Favors","","activated from IL"
"18747",2017-04-12,"Jazz","Gordon Hayward","","returned to lineup"
"18748",2017-04-12,"Jazz","Rodney Hood","","returned to lineup"
"18749",2017-04-12,"Kings","","Anthony Tolliver","placed on IL for rest (out for season)"
"18750",2017-04-12,"Kings","","Kosta Koufos","rest (DTD)"
"18751",2017-04-12,"Kings","","Ty Lawson","rest (out for season)"
"18752",2017-04-12,"Kings","","Tyreke Evans","rest / toe injury (out for season)"
"18753",2017-04-12,"Kings","Arron Afflalo","","returned to lineup"
"18754",2017-04-12,"Knicks","Carmelo Anthony","","returned to lineup"
"18755",2017-04-12,"Magic","","C.J. Watson","placed on IL"
"18756",2017-04-12,"Magic","Jeff Green","","activated from IL"
"18757",2017-04-12,"Magic","Stephen Zimmerman Jr.","","activated from IL"
"18758",2017-04-12,"Mavericks","","Dirk Nowitzki","rest (out for season)"
"18759",2017-04-12,"Mavericks","","Jose Barea ","placed on IL (out for season)"
"18760",2017-04-12,"Nets","","Brook Lopez","rest (DTD)"
"18761",2017-04-12,"Nets","","Jeremy Lin","rest (out for season)"
"18762",2017-04-12,"Nets","","Trevor Booker","rest (out for season)"
"18763",2017-04-12,"Nuggets","","Emmanuel Mudiay","placed on IL with sore/sprained right ankle (out for season)"
"18764",2017-04-12,"Nuggets","","Gary Harris","sore right knee (out for season)"
"18765",2017-04-12,"Nuggets","","Will Barton","DNP"
"18766",2017-04-12,"Nuggets","","Wilson Chandler","DNP"
"18767",2017-04-12,"Pistons","","Michael Gbinije","placed on IL with illness (out for season)"
"18768",2017-04-12,"Raptors","","DeMar DeRozan","placed on IL for rest / flu (out for season)"
"18769",2017-04-12,"Raptors","","Serge Ibaka","placed on IL"
"18770",2017-04-12,"Rockets","","Chinanu Onuaku","placed on IL"
"18771",2017-04-12,"Rockets","Kyle Wiltjer","","activated from IL"
"18772",2017-04-12,"Rockets","Nene Hilario ","","returned to lineup"
"18773",2017-04-12,"Rockets","Patrick Beverley","","returned to lineup"
"18774",2017-04-12,"Spurs","","Bryn Forbes","placed on IL"
"18775",2017-04-12,"Spurs","Dejounte Murray","","activated from IL"
"18776",2017-04-12,"Thunder","","Andre Roberson","placed on IL"
"18777",2017-04-12,"Thunder","Josh Huestis","","activated from IL"
"18778",2017-04-12,"Timberwolves","","Ricky Rubio","DNP (out for season)"
"18779",2017-04-12,"Warriors","","Matt Barnes","placed on IL with sprained right ankle, foot"
"18780",2017-04-12,"Warriors","Damian Jones","","activated from IL"
"18781",2017-04-12,"Warriors","Klay Thompson","","returned to lineup"
"18782",2017-04-12,"Wizards","","Bradley Beal","placed on IL for rest"
"18783",2017-04-12,"Wizards","","Ian Mahinmi","placed on IL for strained left calf"
"18784",2017-04-12,"Wizards","","Markieff Morris","rest (DTD)"
"18785",2017-04-12,"Wizards","Otto Porter Jr.","","activated from IL"
"18786",2017-04-12,"Wizards","Sheldon Mac","","activated from IL"
"18787",2017-04-12,"Kings","Darren Collison","","activated from IL"
"18788",2017-04-12,"Pistons","Beno Udrih","","activated from IL"
"18789",2017-04-12,"Wizards","John Wall ","","activated from IL"
"18790",2017-04-12,"Kings","","Darren Collison","rest (out for season)"
"18791",2017-04-12,"Pistons","","Beno Udrih","knee injury (out for season)"
"18792",2017-04-12,"Raptors","Bruno Caboclo","","activated from IL"
"18793",2017-04-12,"Raptors","Pascal Siakam","","activated from IL"
"18794",2017-04-12,"Wizards","","John Wall ","rest (DTD)"
"18795",2017-04-13,"Grizzlies","","Tony Allen","strained right calf (out for season)"
"18796",2017-04-14,"Wizards","","Sheldon Mac","strained calf (DTD)"
"18797",2017-04-15,"Bucks","","Gary Payton II","placed on IL"
"18798",2017-04-15,"Bucks","","Jabari Parker","placed on IL recovering from surgery on left knee to repair torn ACL (out for season)"
"18799",2017-04-15,"Bucks","","Matthew Dellavedova","returned to lineup"
"18800",2017-04-15,"Bucks","Giannis Antetokounmpo","","returned to lineup"
"18801",2017-04-15,"Bucks","Khris Middleton","","activated from IL"
"18802",2017-04-15,"Bucks","Tony Snell","","returned to lineup"
"18803",2017-04-15,"Cavaliers","","Kay Felder","placed on IL"
"18804",2017-04-15,"Cavaliers","","Edy Tavares","placed on IL"
"18805",2017-04-15,"Cavaliers","Kevin Love","","returned to lineup"
"18806",2017-04-15,"Cavaliers","Kyrie Irving","","returned to lineup"
"18807",2017-04-15,"Clippers","","Austin Rivers","placed on IL with strained left hamstring"
"18808",2017-04-15,"Clippers","","Diamond Stone","placed on IL"
"18809",2017-04-15,"Grizzlies","","Tony Allen","placed on IL with strained right calf muscle (out for season)"
"18810",2017-04-15,"Jazz","","Joel Bolomboy","placed on IL"
"18811",2017-04-15,"Jazz","","Raul Neto","placed on IL"
"18812",2017-04-15,"Pacers","","Georges Niang","placed on IL"
"18813",2017-04-15,"Pacers","","Glenn Robinson III","placed on IL with strained left calf (out for season)"
"18814",2017-04-15,"Raptors","","Bruno Caboclo","placed on IL"
"18815",2017-04-15,"Raptors","","Pascal Siakam","placed on IL"
"18816",2017-04-15,"Spurs","","Dejounte Murray","placed on IL"
"18817",2017-04-15,"Spurs","","Joel Anthony","placed on IL"
"18818",2017-04-16,"Blazers","","Tim Quarterman","concussion (DTD)"
"18819",2017-04-16,"Blazers","Al-Farouq Aminu","","returned to lineup"
"18820",2017-04-16,"Blazers","Allen Crabbe","","returned to lineup"
"18821",2017-04-16,"Blazers","C.J. McCollum","","returned to lineup"
"18822",2017-04-16,"Blazers","Damian Lillard","","returned to lineup"
"18823",2017-04-16,"Bulls","","Cameron Payne","placed on IL"
"18824",2017-04-16,"Bulls","","Isaiah Canaan","placed on IL"
"18825",2017-04-16,"Celtics","","Demetrius Jackson","placed on IL"
"18826",2017-04-16,"Celtics","","Jordan Mickey","placed on IL"
"18827",2017-04-16,"Hawks","","DeAndre Bembry","placed on IL"
"18828",2017-04-16,"Hawks","","Ryan Kelly","placed on IL"
"18829",2017-04-16,"Hawks","Dennis Schroder","","returned to lineup"
"18830",2017-04-16,"Rockets","","Chinanu Onuaku","placed on IL"
"18831",2017-04-16,"Rockets","","Isaiah Taylor","placed on IL"
"18832",2017-04-16,"Rockets","","Kyle Wiltjer","placed on IL"
"18833",2017-04-16,"Thunder","","Josh Huestis","placed on IL"
"18834",2017-04-16,"Thunder","","Kyle Singler","placed on IL"
"18835",2017-04-16,"Thunder","Doug McDermott","","activated from IL"
"18836",2017-04-16,"Warriors","","Kevon Looney","placed on IL with strained left hip (out for season)"
"18837",2017-04-16,"Warriors","","Matt Barnes","placed on IL with sprained right ankle"
"18838",2017-04-16,"Wizards","","Chris McCullough","placed on IL (out for season)"
"18839",2017-04-16,"Wizards","Bradley Beal","","activated from IL"
"18840",2017-04-16,"Wizards","John Wall ","","returned to lineup"
"18841",2017-04-16,"Wizards","Markieff Morris","","returned to lineup"
"18842",2017-04-16,"Wizards","Sheldon Mac","","returned to lineup"
"18843",2017-04-17,"Jazz","","Rudy Gobert","hyperextended left knee (DTD)"
"18844",2017-04-17,"Pacers","","Joe Young","placed on IL"
"18845",2017-04-18,"Jazz","","Alec Burks","placed on IL with sore left knee (out for season)"
"18846",2017-04-18,"Jazz","","Rudy Gobert","placed on IL with hyperextended left knee"
"18847",2017-04-18,"Jazz","Joel Bolomboy","","activated from IL"
"18848",2017-04-18,"Jazz","Raul Neto","","activated from IL"
"18849",2017-04-19,"Blazers","Tim Quarterman","","returned to lineup"
"18850",2017-04-19,"Thunder","","Norris Cole ","placed on IL"
"18851",2017-04-19,"Thunder","Kyle Singler","","activated from IL"
"18852",2017-04-19,"Warriors","","Kevin Durant","strained left calf (DTD)"
"18853",2017-04-19,"Warriors","","Shaun Livingston","sprained right index finger (DTD)"
"18854",2017-04-20,"Spurs","","Bryn Forbes","placed on IL"
"18855",2017-04-20,"Spurs","Dejounte Murray","","activated from IL"
"18856",2017-04-21,"Bulls","","Rajon Rondo","placed on IL with fractured right thumb (out for season)"
"18857",2017-04-21,"Bulls","Cameron Payne","","activated from IL"
"18858",2017-04-21,"Thunder","","Semaj Christon","placed on IL"
"18859",2017-04-21,"Thunder","Norris Cole ","","activated from IL"
"18860",2017-04-22,"Blazers","Jusuf Nurkic","","activated from IL"
"18861",2017-04-22,"Clippers","","Blake Griffin","right big toe injury (out for season)"
"18862",2017-04-22,"Grizzlies","James Ennis","","activated from IL"
"18863",2017-04-22,"Lakers","","Timofey Mozgov","sore ankle (DTD)"
"18864",2017-04-22,"Spurs","","Dewayne Dedmon","placed on IL with illness"
"18865",2017-04-22,"Spurs","Joel Anthony","","activated from IL"
"18866",2017-04-22,"Warriors","","Steve Kerr","head coach illness (DTD)"
"18867",2017-04-23,"Bulls","","Cameron Payne","placed on IL"
"18868",2017-04-23,"Bulls","Isaiah Canaan","","activated from IL"
"18869",2017-04-23,"Clippers","","Blake Griffin","placed on IL with right big toe injury (out for season)"
"18870",2017-04-23,"Clippers","Diamond Stone","","activated from IL"
"18871",2017-04-23,"Jazz","","Gordon Hayward","food poisoning (DTD)"
"18872",2017-04-23,"Jazz","","Jeff Withey","placed on IL"
"18873",2017-04-23,"Jazz","Rudy Gobert","","activated from IL"
"18874",2017-04-24,"Blazers","","Jusuf Nurkic","fractured fibula in right leg (out for season)"
"18875",2017-04-24,"Jazz","Gordon Hayward","","returned to lineup"
"18876",2017-04-24,"Warriors","","Steve Kerr","head coach illness (DTD)"
"18877",2017-04-24,"Warriors","Kevin Durant","","returned to lineup"
"18878",2017-04-25,"Clippers","","Diamond Stone","placed on IL (out for season)"
"18879",2017-04-25,"Clippers","Austin Rivers","","activated from IL"
"18880",2017-04-25,"Spurs","","Joel Anthony","placed on IL"
"18881",2017-04-25,"Spurs","Dewayne Dedmon","","activated from IL"
"18882",2017-04-27,"Knicks","","Joakim Noah","surgery on right shoulder to repair torn rotator cuff (out indefinitely)"
"18883",2017-04-27,"Nuggets","","Jamal Murray","surgery to repair core muscle related injuries (out indefinitely)"
"18884",2017-04-28,"Jazz","","Joel Bolomboy","placed on IL"
"18885",2017-04-28,"Jazz","Jeff Withey","","activated from IL"
"18886",2017-05-01,"Clippers","","Blake Griffin","surgery on right big toe (out for season)"
"18887",2017-05-01,"Raptors","","Lucas Nogueira","placed on IL"
"18888",2017-05-01,"Raptors","Pascal Siakam","","activated from IL"
"18889",2017-05-01,"Rockets","Kyle Wiltjer","","activated from IL"
"18890",2017-05-01,"Rockets","Sam Dekker","","activated from IL"
"18891",2017-05-02,"Jazz","","Jeff Withey","placed on IL"
"18892",2017-05-02,"Jazz","Joel Bolomboy","","activated from IL"
"18893",2017-05-02,"Warriors","","Damian Jones","placed on IL"
"18894",2017-05-02,"Warriors","","Steve Kerr","head coach illness (DTD)"
"18895",2017-05-02,"Warriors","Matt Barnes","","activated from IL"
"18896",2017-05-02,"Warriors","Shaun Livingston","","returned to lineup"
"18897",2017-05-03,"Lakers","","Luol Deng","surgery on right pectoral muscle (out indefinitely)"
"18898",2017-05-04,"Jazz","","George Hill","placed on IL with sore left big toe (out for season)"
"18899",2017-05-04,"Jazz","Jeff Withey","","activated from IL"
"18900",2017-05-04,"Spurs",""," Tony Parker","ruptured quadriceps tendon in left leg (out for season)"
"18901",2017-05-04,"Warriors","","Steve Kerr","head coach illness (DTD)"
"18902",2017-05-04,"Wizards","","Daniel Ochefu","placed on IL"
"18903",2017-05-04,"Wizards","Ian Mahinmi","","activated from IL"
"18904",2017-05-05,"Raptors","","Kyle Lowry","sprained left ankle (DTD)"
"18905",2017-05-05,"Raptors","","Lucas Nogueira","placed on IL"
"18906",2017-05-05,"Raptors","Pascal Siakam","","activated from IL"
"18907",2017-05-05,"Rockets","Kyle Wiltjer","","activated from IL"
"18908",2017-05-05,"Spurs",""," Tony Parker","placed on IL recovering from surgery to repair ruptured quadriceps tendon in left leg (out for season)"
"18909",2017-05-05,"Spurs","Bryn Forbes","","activated from IL"
"18910",2017-05-06,"Warriors","","Steve Kerr","head coach illness (DTD)"
"18911",2017-05-07,"Raptors","","Kyle Lowry","placed on IL with sprained left ankle"
"18912",2017-05-07,"Raptors","Kyle Lowry","","activated from IL"
"18913",2017-05-07,"Raptors","Lucas Nogueira","","activated from IL"
"18914",2017-05-08,"Rockets","","Nene Hilario ","torn left adductor muscle (out for season)"
"18915",2017-05-09,"Rockets","","Isaiah Taylor","placed on IL"
"18916",2017-05-09,"Rockets","","Nene Hilario ","placed on IL with torn left adductor muscle (out for season)"
"18917",2017-05-09,"Rockets","Chinanu Onuaku","","activated from IL"
"18918",2017-05-09,"Rockets","Kyle Wiltjer","","activated from IL"
"18919",2017-05-11,"Rockets","","Kyle Wiltjer","placed on IL (out for season)"
"18920",2017-05-11,"Rockets","Isaiah Taylor","","activated from IL"
"18921",2017-05-11,"Spurs","","Kawhi Leonard","placed on IL with sprained left ankle"
"18922",2017-05-11,"Spurs","Joel Anthony","","activated from IL"
"18923",2017-05-13,"Cavaliers","","Edy Tavares","fractured right hand (out for season)"
"18924",2017-05-14,"Warriors","","Andre Iguodala","sore left knee (DTD)"
"18925",2017-05-14,"Spurs","Kawhi Leonard","","activated from IL"
"18926",2017-05-14,"Spurs","","Kawhi Leonard","sprained left ankle (DTD)"
"18927",2017-05-16,"Spurs","","Kawhi Leonard","placed on IL with sprained left ankle"
"18928",2017-05-16,"Spurs","Joel Anthony","","activated from IL"
"18929",2017-05-16,"Warriors","","Andre Iguodala","placed on IL with sore left knee"
"18930",2017-05-16,"Warriors","Damian Jones","","activated from IL"
"18931",2017-05-17,"Bulls","","Denzel Valentine","arthroscopic surgery on left ankle (out indefinitely)"
"18932",2017-05-17,"Hornets","","Kemba Walker","arthroscopic surgery on left knee (out indefinitely)"
"18933",2017-05-17,"Warriors","","Zaza Pachulia","bruised right heel"
"18934",2017-05-19,"Celtics","","James Young","placed on IL"
"18935",2017-05-19,"Celtics","Jordan Mickey","","activated from IL"
"18936",2017-05-20,"Celtics","","Isaiah Thomas","hip injury (out for season)"
"18937",2017-05-20,"Warriors","","Zaza Pachulia","placed on IL with bruised right heel"
"18938",2017-05-20,"Warriors","Andre Iguodala","","activated from IL"
"18939",2017-05-21,"Celtics","","Isaiah Thomas","placed on IL with hip injury (out for season)"
"18940",2017-05-21,"Celtics","James Young","","activated from IL"
"18941",2017-05-21,"Spurs","","David Lee","torn patellar tendon in left knee (out for season)"
"18942",2017-05-22,"Spurs","","David Lee","placed on IL with torn patellar tendon in left knee (out for season)"
