"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location"
"270","2017-04-12","BROOKLYN NETS","CHICAGO BULLS",14.5,73,112,-39,"V"
"271","2016-10-26","CHARLOTTE HORNETS","MILWAUKEE BUCKS",-2,107,96,11,"V"
"272","2016-10-28","CHARLOTTE HORNETS","MIAMI HEAT",-1,97,91,6,"V"
"273","2016-10-29","CHARLOTTE HORNETS","BOSTON CELTICS",2.5,98,104,-6,"H"
"274","2016-11-02","CHARLOTTE HORNETS","PHILADELPHIA 76ERS",-13,109,93,16,"H"
"275","2016-11-04","CHARLOTTE HORNETS","BROOKLYN NETS",-6.5,99,95,4,"V"
"276","2016-11-07","CHARLOTTE HORNETS","INDIANA PACERS",-3,122,100,22,"H"
"277","2016-11-09","CHARLOTTE HORNETS","UTAH JAZZ",-3,104,98,6,"H"
"278","2016-11-11","CHARLOTTE HORNETS","TORONTO RAPTORS",-1,111,113,-2,"H"
"279","2016-11-13","CHARLOTTE HORNETS","CLEVELAND CAVALIERS",7.5,93,100,-7,"V"
"280","2016-11-15","CHARLOTTE HORNETS","MINNESOTA TIMBERWOLVES",1,115,108,7,"V"
"281","2016-11-18","CHARLOTTE HORNETS","ATLANTA HAWKS",-2,100,96,4,"H"
"282","2016-11-19","CHARLOTTE HORNETS","NEW ORLEANS PELICANS",-2.5,116,121,-5,"V"
