"","X.3","X.2","Rk","G","Date","X","Opp","W.L","Tm","Opp.1","TeamFG","TeamFGA","TeamFG.","Team3P","Team3PA","Team3P.","TeamFT","TeamFTA","TeamFT.","TeamORB","TeamTRB","TeamAST","TeamSTL","TeamBLK","TeamTOV","TeamPF","X.1","OppoFG","OppoFGA","OppoFG.","Oppo3P","Oppo3PA","Oppo3P.","OppoFT","OppoFTA","OppoFT.","OppoORB","OppoTRB","OppoAST","OppoSTL","OppoBLK","OppoTOV","OppoPF","Tm1","TPdiff","TRBdiff","FTdiff","ASTdiff","BLKdiff","TOVdiff"
"54",41,41,41,41,"2017-01-16","@","NEW YORK KNICKS","W",108,107,40,87,0.46,12,32,0.375,16,23,0.696,8,36,26,11,3,10,15,NA,42,85,0.494,8,26,0.308,15,23,0.652,15,53,21,8,3,18,22,"ATLANTA HAWKS",4,-17,1,5,0,-8
"55",48,48,48,48,"2017-01-29","","NEW YORK KNICKS","W",142,139,52,119,0.437,10,31,0.323,28,40,0.7,17,64,36,4,2,14,24,NA,51,128,0.398,18,51,0.353,19,23,0.826,15,63,32,9,11,12,39,"ATLANTA HAWKS",-8,1,9,4,-9,2
"56",22,22,22,22,"2016-12-05","","OKLAHOMA CITY THUNDER","L",99,102,34,77,0.442,7,22,0.318,24,32,0.75,7,36,26,13,3,18,24,NA,37,80,0.463,10,31,0.323,18,28,0.643,8,43,26,9,5,19,27,"ATLANTA HAWKS",-3,-7,6,0,-2,-1
"57",28,28,28,28,"2016-12-19","@","OKLAHOMA CITY THUNDER","W",110,108,41,75,0.547,9,23,0.391,19,24,0.792,5,35,24,5,2,15,20,NA,39,87,0.448,10,35,0.286,20,26,0.769,15,44,13,8,3,12,18,"ATLANTA HAWKS",-1,-9,-1,11,-1,3
"58",25,25,25,25,"2016-12-13","","ORLANDO MAGIC","L",120,131,45,89,0.506,11,28,0.393,19,21,0.905,13,45,29,6,4,15,16,NA,51,87,0.586,15,34,0.441,14,20,0.7,5,28,36,8,5,9,17,"ATLANTA HAWKS",-4,17,5,-7,-1,6
"59",35,35,35,35,"2017-01-04","@","ORLANDO MAGIC","W",111,92,44,81,0.543,10,19,0.526,13,18,0.722,3,39,27,12,3,12,12,NA,37,86,0.43,9,28,0.321,9,10,0.9,10,40,19,9,6,17,17,"ATLANTA HAWKS",1,-1,4,8,-3,-5
"60",51,51,51,51,"2017-02-04","","ORLANDO MAGIC","W",113,86,41,78,0.526,10,28,0.357,21,27,0.778,10,48,28,8,2,15,20,NA,27,78,0.346,7,27,0.259,25,28,0.893,7,33,17,8,4,13,19,"ATLANTA HAWKS",3,15,-4,11,-2,2
"61",58,58,58,58,"2017-02-25","@","ORLANDO MAGIC","L",86,105,32,85,0.376,8,25,0.32,14,26,0.538,12,48,21,4,4,17,19,NA,37,81,0.457,8,27,0.296,23,24,0.958,7,47,21,11,8,13,23,"ATLANTA HAWKS",0,1,-9,0,-4,4
"62",2,2,2,2,"2016-10-29","@","PHILADELPHIA 76ERS","W",104,72,42,85,0.494,5,20,0.25,15,23,0.652,6,47,31,11,7,12,14,NA,28,80,0.35,5,18,0.278,11,15,0.733,4,39,16,9,5,20,20,"ATLANTA HAWKS",0,8,4,15,2,-8
"63",9,9,9,9,"2016-11-12","","PHILADELPHIA 76ERS","W",117,96,48,95,0.505,13,32,0.406,8,14,0.571,15,52,31,10,6,16,14,NA,36,83,0.434,11,29,0.379,13,20,0.65,10,39,21,14,4,19,20,"ATLANTA HAWKS",2,13,-5,10,2,-3
"64",44,44,44,44,"2017-01-21","","PHILADELPHIA 76ERS","W",110,93,45,91,0.495,7,20,0.35,13,23,0.565,11,47,24,8,5,13,18,NA,33,78,0.423,12,29,0.414,15,18,0.833,7,39,27,8,6,22,19,"ATLANTA HAWKS",-5,8,-2,-3,-1,-9
"65",75,75,75,75,"2017-03-29","@","PHILADELPHIA 76ERS","W",99,92,34,80,0.425,9,18,0.5,22,26,0.846,15,47,19,7,3,17,15,NA,36,87,0.414,11,39,0.282,9,11,0.818,13,40,30,7,3,14,19,"ATLANTA HAWKS",-2,7,13,-11,0,3
"66",19,19,19,19,"2016-11-30","@","PHOENIX SUNS","L",107,109,45,89,0.506,9,25,0.36,8,10,0.8,7,40,20,9,6,20,22,NA,40,89,0.449,10,21,0.476,19,25,0.76,13,41,15,11,4,15,17,"ATLANTA HAWKS",-1,-1,-11,5,2,5
"67",74,74,74,74,"2017-03-28","","PHOENIX SUNS","W",95,91,34,85,0.4,6,27,0.222,21,29,0.724,9,51,24,5,6,19,23,NA,35,96,0.365,7,31,0.226,14,24,0.583,14,48,25,12,6,15,31,"ATLANTA HAWKS",-1,3,7,-1,0,4
"68",55,55,55,55,"2017-02-13","@","PORTLAND TRAIL BLAZERS","W",109,104,32,83,0.386,8,28,0.286,37,48,0.771,7,52,20,9,11,9,23,NA,37,103,0.359,16,42,0.381,14,25,0.56,22,66,22,4,4,14,34,"ATLANTA HAWKS",-8,-14,23,-2,7,-5
"69",69,69,69,69,"2017-03-18","","PORTLAND TRAIL BLAZERS","L",97,113,32,88,0.364,7,26,0.269,26,32,0.813,12,35,22,13,7,13,12,NA,44,87,0.506,8,18,0.444,17,19,0.895,13,54,23,9,9,20,22,"ATLANTA HAWKS",-1,-19,9,-1,-2,-7
"70",3,3,3,3,"2016-10-31","","SACRAMENTO KINGS","W",106,95,33,79,0.418,11,30,0.367,29,47,0.617,17,43,24,11,6,13,20,NA,36,75,0.48,10,23,0.435,13,19,0.684,6,38,26,10,6,19,34,"ATLANTA HAWKS",1,5,16,-2,0,-6
